date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:06	572/572	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:614e513b48547d94cbd5982988523b58%22	https://eurotas-demo.myshopify.com/robots.txt		(from )
15:33:06	137271/137271	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:7825228a352623dcb3b04ffa4ed01dd2%22	https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/index3631.html	(from )
15:33:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2009:48:06%20GMT	http://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/favicon.png?v=51103055292122790571569986738	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/favicon.07105.delayed	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:06	4841/4841	---M--	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2000:45:35%20GMT	https://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/favicon.png?v=51103055292122790571569986738	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/favicon7105.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2009:48:06%20GMT	http://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile.png?v=127936111694927947721569321403	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobileb7fc.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2009:48:08%20GMT	http://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_57x57.png?v=127936111694927947721569321403	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_57x57b7fc.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:08	111479/111479	---M--	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2000:28:31%20GMT	https://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile.png?v=127936111694927947721569321403	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobileb7fc.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:10	4013/4013	---M--	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2000:28:30%20GMT	https://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_57x57.png?v=127936111694927947721569321403	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_57x57b7fc.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20May%202024%2009:48:08%20GMT	http://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_60x60.png?v=127936111694927947721569321403	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_60x60b7fc.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
15:33:10	4275/4275	---M--	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2000:57:29%20GMT	https://eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_60x60.png?v=127936111694927947721569321403	C:/My%20Web%20Sites/shoes/eurotas-demo.myshopify.com/cdn/shop/t/18/assets/icon-for-mobile_60x60b7fc.png	(from https://eurotas-demo.myshopify.com/?_ab=0&_fd=0&_sc=1)
